id,modality,inferred_relationship,resolution,true_relationship,metadata_correct,obj_1_method,obj_1_candidate_count,obj_1_meta_row,obj_1_uuid,obj_1_image_id,obj_1_doi,obj_2_method,obj_2_candidate_count,obj_2_meta_row,obj_2_uuid,obj_2_image_id,obj_2_doi
20,text-image,same_figure,unique,same_figure,True,caption_exact,1,86793,10.3847.2041-8213.ae11ab_apjlae11abf8_94732,apjlae11abf8,10.3847/2041-8213/ae11ab,image_raw_exact,1,86793,10.3847.2041-8213.ae11ab_apjlae11abf8_94732,apjlae11abf8,10.3847/2041-8213/ae11ab
21,text-image,same_figure,unique,same_figure,True,caption_exact,1,75889,10.3847.1538-3881.ae019a_ajae019af17_83088,ajae019af17,10.3847/1538-3881/ae019a,image_raw_exact,1,75889,10.3847.1538-3881.ae019a_ajae019af17_83088,ajae019af17,10.3847/1538-3881/ae019a
22,text-image,same_figure,unique,same_figure,True,caption_exact,1,79952,10.3847.1538-3881.ada3c2_ajada3c2f3_87320,ajada3c2f3,10.3847/1538-3881/ada3c2,image_raw_exact,1,79952,10.3847.1538-3881.ada3c2_ajada3c2f3_87320,ajada3c2f3,10.3847/1538-3881/ada3c2
23,text-image,same_figure,unique,same_figure,True,caption_exact,1,82388,10.3847.1538-4365.ae0643_apjsae0643f1_89958,apjsae0643f1,10.3847/1538-4365/ae0643,image_raw_exact,1,82388,10.3847.1538-4365.ae0643_apjsae0643f1_89958,apjsae0643f1,10.3847/1538-4365/ae0643
24,text-image,same_figure,unique,same_figure,True,caption_exact,1,64535,10.3847.PSJ.ad1933_psjad1933f25_71151,psjad1933f25,10.3847/psj/ad1933,image_raw_exact,1,64535,10.3847.PSJ.ad1933_psjad1933f25_71151,psjad1933f25,10.3847/psj/ad1933
25,text-image,same_figure,unique,same_figure,True,caption_exact,1,65727,10.3847.1538-4357.ae1fd8_apjae1fd8f3_72515,apjae1fd8f3,10.3847/1538-4357/ae1fd8,image_raw_exact,1,65727,10.3847.1538-4357.ae1fd8_apjae1fd8f3_72515,apjae1fd8f3,10.3847/1538-4357/ae1fd8
26,text-image,same_figure,unique,same_figure,True,caption_exact,1,26098,10.3847.1538-4357.acebe5_apjacebe5f3_28148,apjacebe5f3,10.3847/1538-4357/acebe5,image_raw_exact,1,26098,10.3847.1538-4357.acebe5_apjacebe5f3_28148,apjacebe5f3,10.3847/1538-4357/acebe5
27,text-image,same_figure,unique,same_figure,True,caption_exact,1,13057,10.3847.1538-4365.ac83a6_apjsac83a6f11_14075,apjsac83a6f11,10.3847/1538-4365/ac83a6,image_raw_exact,1,13057,10.3847.1538-4365.ac83a6_apjsac83a6f11_14075,apjsac83a6f11,10.3847/1538-4365/ac83a6
28,text-image,same_figure,unique,same_figure,True,caption_exact,1,77395,10.3847.1538-3881.adf55e_ajadf55ef7_84655,ajadf55ef7,10.3847/1538-3881/adf55e,image_raw_exact,1,77395,10.3847.1538-3881.adf55e_ajadf55ef7_84655,ajadf55ef7,10.3847/1538-3881/adf55e
29,text-image,same_figure,unique,same_figure,True,caption_exact,1,82514,10.3847.1538-4365.adfc59_apjsadfc59f10_90084,apjsadfc59f10,10.3847/1538-4365/adfc59,image_raw_exact,1,82514,10.3847.1538-4365.adfc59_apjsadfc59f10_90084,apjsadfc59f10,10.3847/1538-4365/adfc59
30,text-image,same_figure,unique,same_figure,True,caption_exact,1,88347,10.3847.2041-8213.addcfe_apjladdcfef2_96365,apjladdcfef2,10.3847/2041-8213/addcfe,image_raw_exact,1,88347,10.3847.2041-8213.addcfe_apjladdcfef2_96365,apjladdcfef2,10.3847/2041-8213/addcfe
31,text-image,same_figure,unique,same_figure,True,caption_exact,1,66069,10.3847.1538-4357.ae18cd_apjae18cdf3_72864,apjae18cdf3,10.3847/1538-4357/ae18cd,image_raw_exact,1,66069,10.3847.1538-4357.ae18cd_apjae18cdf3_72864,apjae18cdf3,10.3847/1538-4357/ae18cd
32,text-image,same_figure,unique,same_figure,True,caption_exact,1,55807,10.3847.1538-3881.ad152b_ajad152bf27_61461,ajad152bf27,10.3847/1538-3881/ad152b,image_raw_exact,1,55807,10.3847.1538-3881.ad152b_ajad152bf27_61461,ajad152bf27,10.3847/1538-3881/ad152b
33,text-image,same_figure,unique,same_figure,True,caption_exact,1,81433,10.3847.1538-4365.ae0590_apjsae0590f13_88962,apjsae0590f13,10.3847/1538-4365/ae0590,image_raw_exact,1,81433,10.3847.1538-4365.ae0590_apjsae0590f13_88962,apjsae0590f13,10.3847/1538-4365/ae0590
34,text-image,same_figure,unique,same_figure,True,caption_exact,1,18793,10.3847.PSJ.ac38ac_psjac38acf3_20174,psjac38acf3,10.3847/psj/ac38ac,image_raw_exact,1,18793,10.3847.PSJ.ac38ac_psjac38acf3_20174,psjac38acf3,10.3847/psj/ac38ac
35,text-image,same_figure,unique,same_figure,True,caption_exact,1,40027,10.3847.2041-8213.acbd9d_apjlacbd9df5_43989,apjlacbd9df5,10.3847/2041-8213/acbd9d,image_raw_exact,1,40027,10.3847.2041-8213.acbd9d_apjlacbd9df5_43989,apjlacbd9df5,10.3847/2041-8213/acbd9d
36,text-image,same_figure,unique,same_figure,True,caption_exact,1,87302,10.3847.2041-8213.ae045d_apjlae045df8_95268,apjlae045df8,10.3847/2041-8213/ae045d,image_raw_exact,1,87302,10.3847.2041-8213.ae045d_apjlae045df8_95268,apjlae045df8,10.3847/2041-8213/ae045d
37,text-image,same_figure,unique,same_figure,True,caption_exact,1,43718,10.3847.1538-4357.ad8a61_apjad8a61f14_48032,apjad8a61f14,10.3847/1538-4357/ad8a61,image_raw_exact,1,43718,10.3847.1538-4357.ad8a61_apjad8a61f14_48032,apjad8a61f14,10.3847/1538-4357/ad8a61
38,text-image,same_figure,unique,same_figure,True,caption_exact,1,87904,10.3847.2041-8213.aded0a_apjladed0af2_95903,apjladed0af2,10.3847/2041-8213/aded0a,image_raw_exact,1,87904,10.3847.2041-8213.aded0a_apjladed0af2_95903,apjladed0af2,10.3847/2041-8213/aded0a
39,text-image,same_figure,unique,same_figure,True,caption_exact,1,2095,10.3847.1538-4357.ac98b3_apjac98b3f13_2297,apjac98b3f13,10.3847/1538-4357/ac98b3,image_raw_exact,1,2095,10.3847.1538-4357.ac98b3_apjac98b3f13_2297,apjac98b3f13,10.3847/1538-4357/ac98b3
40,text-image,unmatched,ambiguous_disagreement,same_figure,,caption_exact_ambiguous,2,,,,,image_raw_ambiguous,2,,,,
41,text-image,same_figure,unique,same_figure,True,caption_exact,1,60245,10.3847.2041-8213.ad7eb8_apjlad7eb8f8_66263,apjlad7eb8f8,10.3847/2041-8213/ad7eb8,image_raw_exact,1,60245,10.3847.2041-8213.ad7eb8_apjlad7eb8f8_66263,apjlad7eb8f8,10.3847/2041-8213/ad7eb8
42,text-image,same_figure,unique,same_figure,True,caption_exact,1,28541,10.3847.1538-4357.acdfcd_apjacdfcdf6_30886,apjacdfcdf6,10.3847/1538-4357/acdfcd,image_raw_exact,1,28541,10.3847.1538-4357.acdfcd_apjacdfcdf6_30886,apjacdfcdf6,10.3847/1538-4357/acdfcd
43,text-image,same_figure,unique,same_figure,True,caption_exact,1,4384,10.3847.1538-4357.ac8eb3_apjac8eb3f5_4735,apjac8eb3f5,10.3847/1538-4357/ac8eb3,image_raw_exact,1,4384,10.3847.1538-4357.ac8eb3_apjac8eb3f5_4735,apjac8eb3f5,10.3847/1538-4357/ac8eb3
44,text-image,same_figure,unique,same_figure,True,caption_exact,1,7713,10.3847.1538-3881.ac76be_ajac76bef2_8285,ajac76bef2,10.3847/1538-3881/ac76be,image_raw_exact,1,7713,10.3847.1538-3881.ac76be_ajac76bef2_8285,ajac76bef2,10.3847/1538-3881/ac76be
45,text-image,same_figure,unique,same_figure,True,caption_exact,1,3865,10.3847.1538-4357.ac8b14_apjac8b14f1_4207,apjac8b14f1,10.3847/1538-4357/ac8b14,image_raw_exact,1,3865,10.3847.1538-4357.ac8b14_apjac8b14f1_4207,apjac8b14f1,10.3847/1538-4357/ac8b14
46,text-image,same_figure,unique,same_figure,True,caption_exact,1,34392,10.3847.1538-4365.acdf5d_apjsacdf5df14_37487,apjsacdf5df14,10.3847/1538-4365/acdf5d,image_raw_exact,1,34392,10.3847.1538-4365.acdf5d_apjsacdf5df14_37487,apjsacdf5df14,10.3847/1538-4365/acdf5d
47,text-image,same_figure,unique,same_figure,True,caption_exact,1,89309,10.3847.2041-8213.add34a_apjladd34af3_97392,apjladd34af3,10.3847/2041-8213/add34a,image_raw_exact,1,89309,10.3847.2041-8213.add34a_apjladd34af3_97392,apjladd34af3,10.3847/2041-8213/add34a
48,text-image,same_figure,unique,same_figure,True,caption_exact,1,38116,10.3847.2041-8213.acf574_apjlacf574f4_41745,apjlacf574f4,10.3847/2041-8213/acf574,image_raw_exact,1,38116,10.3847.2041-8213.acf574_apjlacf574f4_41745,apjlacf574f4,10.3847/2041-8213/acf574
49,text-image,same_figure,unique,same_figure,True,caption_exact,1,42378,10.3847.PSJ.acc030_psjacc030f4_46616,psjacc030f4,10.3847/psj/acc030,image_raw_exact,1,42378,10.3847.PSJ.acc030_psjacc030f4_46616,psjacc030f4,10.3847/psj/acc030
50,text-image,same_figure,unique,same_figure,True,caption_exact,1,2911,10.3847.1538-4357.ac9965_apjac9965f4_3194,apjac9965f4,10.3847/1538-4357/ac9965,image_raw_exact,1,2911,10.3847.1538-4357.ac9965_apjac9965f4_3194,apjac9965f4,10.3847/1538-4357/ac9965
51,text-image,same_figure,unique,same_figure,True,caption_exact,1,33914,10.3847.1538-4365.ac9f1a_apjsac9f1af14_36939,apjsac9f1af14,10.3847/1538-4365/ac9f1a,image_raw_exact,1,33914,10.3847.1538-4365.ac9f1a_apjsac9f1af14_36939,apjsac9f1af14,10.3847/1538-4365/ac9f1a
52,text-image,same_figure,unique,same_figure,True,caption_exact,1,76589,10.3847.1538-3881.ae112b_ajae112bf8_83805,ajae112bf8,10.3847/1538-3881/ae112b,image_raw_exact,1,76589,10.3847.1538-3881.ae112b_ajae112bf8_83805,ajae112bf8,10.3847/1538-3881/ae112b
53,text-image,same_figure,unique,same_figure,True,caption_exact,1,69704,10.3847.1538-4357.ae0e6c_apjae0e6cf6_76552,apjae0e6cf6,10.3847/1538-4357/ae0e6c,image_raw_exact,1,69704,10.3847.1538-4357.ae0e6c_apjae0e6cf6_76552,apjae0e6cf6,10.3847/1538-4357/ae0e6c
54,text-image,same_figure,unique,same_figure,True,caption_exact,1,87306,10.3847.2041-8213.ae045d_apjlae045df7_95272,apjlae045df7,10.3847/2041-8213/ae045d,image_raw_exact,1,87306,10.3847.2041-8213.ae045d_apjlae045df7_95272,apjlae045df7,10.3847/2041-8213/ae045d
55,text-image,same_figure,unique,same_figure,True,caption_exact,1,63783,10.3847.PSJ.ad2ea4_psjad2ea4f7_70239,psjad2ea4f7,10.3847/psj/ad2ea4,image_raw_exact,1,63783,10.3847.PSJ.ad2ea4_psjad2ea4f7_70239,psjad2ea4f7,10.3847/psj/ad2ea4
56,text-image,same_figure,unique,same_figure,True,caption_exact,1,12053,10.3847.1538-3881.ac617e_ajac617ef9_12979,ajac617ef9,10.3847/1538-3881/ac617e,image_raw_exact,1,12053,10.3847.1538-3881.ac617e_ajac617ef9_12979,ajac617ef9,10.3847/1538-3881/ac617e
57,text-image,same_figure,unique,same_figure,True,caption_exact,1,52846,10.3847.1538-3881.ad4d56_ajad4d56f3_58199,ajad4d56f3,10.3847/1538-3881/ad4d56,image_raw_exact,1,52846,10.3847.1538-3881.ad4d56_ajad4d56f3_58199,ajad4d56f3,10.3847/1538-3881/ad4d56
58,text-image,same_figure,unique,same_figure,True,caption_exact,1,77376,10.3847.1538-3881.adec89_ajadec89f19_84636,ajadec89f19,10.3847/1538-3881/adec89,image_raw_exact,1,77376,10.3847.1538-3881.adec89_ajadec89f19_84636,ajadec89f19,10.3847/1538-3881/adec89
59,text-image,same_figure,unique,same_figure,True,caption_exact,1,86655,10.3847.2041-8213.ae1d81_apjlae1d81f6_94583,apjlae1d81f6,10.3847/2041-8213/ae1d81,image_raw_exact,1,86655,10.3847.2041-8213.ae1d81_apjlae1d81f6_94583,apjlae1d81f6,10.3847/2041-8213/ae1d81
60,text-image,same_figure,unique,same_figure,True,caption_exact,1,36067,10.3847.1538-4365.acaf89_apjsacaf89f17_39395,apjsacaf89f17,10.3847/1538-4365/acaf89,image_raw_exact,1,36067,10.3847.1538-4365.acaf89_apjsacaf89f17_39395,apjsacaf89f17,10.3847/1538-4365/acaf89
61,text-image,same_figure,unique,same_figure,True,caption_exact,1,59496,10.3847.1538-4365.ad1686_apjsad1686f16_65465,apjsad1686f16,10.3847/1538-4365/ad1686,image_raw_exact,1,59496,10.3847.1538-4365.ad1686_apjsad1686f16_65465,apjsad1686f16,10.3847/1538-4365/ad1686
62,text-image,same_figure,unique,same_figure,True,caption_exact,1,24405,10.3847.1538-4357.acf6b5_apjacf6b5f11_26255,apjacf6b5f11,10.3847/1538-4357/acf6b5,image_raw_exact,1,24405,10.3847.1538-4357.acf6b5_apjacf6b5f11_26255,apjacf6b5f11,10.3847/1538-4357/acf6b5
63,text-image,same_figure,unique,same_figure,True,caption_exact,1,29786,10.3847.1538-3881.ace689_ajace689f2_32243,ajace689f2,10.3847/1538-3881/ace689,image_raw_exact,1,29786,10.3847.1538-3881.ace689_ajace689f2_32243,ajace689f2,10.3847/1538-3881/ace689
64,text-image,same_figure,unique,same_figure,True,caption_exact,1,15930,10.3847.2041-8213.aca6e5_apjlaca6e5f3_17168,apjlaca6e5f3,10.3847/2041-8213/aca6e5,image_raw_exact,1,15930,10.3847.2041-8213.aca6e5_apjlaca6e5f3_17168,apjlaca6e5f3,10.3847/2041-8213/aca6e5
65,text-image,same_figure,unique,same_figure,True,caption_exact,1,28797,10.3847.1538-3881.acd6a3_ajacd6a3f6_31153,ajacd6a3f6,10.3847/1538-3881/acd6a3,image_raw_exact,1,28797,10.3847.1538-3881.acd6a3_ajacd6a3f6_31153,ajacd6a3f6,10.3847/1538-3881/acd6a3
66,text-image,same_figure,unique,same_figure,True,caption_exact,1,40763,10.3847.PSJ.acd53f_psjacd53ff5_44825,psjacd53ff5,10.3847/psj/acd53f,image_raw_exact,1,40763,10.3847.PSJ.acd53f_psjacd53ff5_44825,psjacd53ff5,10.3847/psj/acd53f
67,text-image,same_figure,unique,same_figure,True,caption_exact,1,59674,10.3847.2041-8213.ad94d8_apjlad94d8f4_65650,apjlad94d8f4,10.3847/2041-8213/ad94d8,image_raw_exact,1,59674,10.3847.2041-8213.ad94d8_apjlad94d8f4_65650,apjlad94d8f4,10.3847/2041-8213/ad94d8
68,text-image,same_figure,unique,same_figure,True,caption_exact,1,20882,10.3847.2515-5172.ac7793_rnaasac7793f1_22361,rnaasac7793f1,10.3847/2515-5172/ac7793,image_raw_exact,1,20882,10.3847.2515-5172.ac7793_rnaasac7793f1_22361,rnaasac7793f1,10.3847/2515-5172/ac7793
69,text-image,same_figure,unique,same_figure,True,caption_exact,1,28901,10.3847.1538-3881.acdd56_ajacdd56f1_31257,ajacdd56f1,10.3847/1538-3881/acdd56,image_raw_exact,1,28901,10.3847.1538-3881.acdd56_ajacdd56f1_31257,ajacdd56f1,10.3847/1538-3881/acdd56
70,text-image,same_figure,unique,same_figure,True,caption_exact,1,9223,10.3847.1538-3881.ac6bfa_ajac6bfaf3_9946,ajac6bfaf3,10.3847/1538-3881/ac6bfa,image_raw_exact,1,9223,10.3847.1538-3881.ac6bfa_ajac6bfaf3_9946,ajac6bfaf3,10.3847/1538-3881/ac6bfa
71,text-image,same_figure,unique,same_figure,True,caption_exact,1,39943,10.3847.2041-8213.acaeae_apjlacaeaef4_43893,apjlacaeaef4,10.3847/2041-8213/acaeae,image_raw_exact,1,39943,10.3847.2041-8213.acaeae_apjlacaeaef4_43893,apjlacaeaef4,10.3847/2041-8213/acaeae
72,text-image,same_figure,unique,same_figure,True,caption_exact,1,41730,10.3847.PSJ.accf11_psjaccf11f3_45879,psjaccf11f3,10.3847/psj/accf11,image_raw_exact,1,41730,10.3847.PSJ.accf11_psjaccf11f3_45879,psjaccf11f3,10.3847/psj/accf11
73,text-image,same_figure,unique,same_figure,True,caption_exact,1,7375,10.3847.1538-4357.ac7400_apjac7400f26_7910,apjac7400f26,10.3847/1538-4357/ac7400,image_raw_exact,1,7375,10.3847.1538-4357.ac7400_apjac7400f26_7910,apjac7400f26,10.3847/1538-4357/ac7400
74,text-image,same_figure,unique,same_figure,True,caption_exact,1,47588,10.3847.1538-4357.ad739a_apjad739af2_52183,apjad739af2,10.3847/1538-4357/ad739a,image_raw_exact,1,47588,10.3847.1538-4357.ad739a_apjad739af2_52183,apjad739af2,10.3847/1538-4357/ad739a
75,text-image,same_figure,unique,same_figure,True,caption_exact,1,80553,10.3847.1538-3881.ad9ea5_ajad9ea5f10_87959,ajad9ea5f10,10.3847/1538-3881/ad9ea5,image_raw_exact,1,80553,10.3847.1538-3881.ad9ea5_ajad9ea5f10_87959,ajad9ea5f10,10.3847/1538-3881/ad9ea5
76,text-image,same_figure,unique,same_figure,True,caption_exact,1,21284,10.3847.1538-4357.acfe08_apjacfe08f8_22808,apjacfe08f8,10.3847/1538-4357/acfe08,image_raw_exact,1,21284,10.3847.1538-4357.acfe08_apjacfe08f8_22808,apjacfe08f8,10.3847/1538-4357/acfe08
77,text-image,same_figure,unique,same_figure,True,caption_exact,1,32260,10.3847.1538-3881.acaec5_ajacaec5f3_35096,ajacaec5f3,10.3847/1538-3881/acaec5,image_raw_exact,1,32260,10.3847.1538-3881.acaec5_ajacaec5f3_35096,ajacaec5f3,10.3847/1538-3881/acaec5
78,text-image,same_figure,unique,same_figure,True,caption_exact,1,43944,10.3847.1538-4357.ad88f4_apjad88f4f7_48266,apjad88f4f7,10.3847/1538-4357/ad88f4,image_raw_exact,1,43944,10.3847.1538-4357.ad88f4_apjad88f4f7_48266,apjad88f4f7,10.3847/1538-4357/ad88f4
79,text-image,same_figure,unique,same_figure,True,caption_exact,1,32635,10.3847.1538-3881.acccf0_ajacccf0f10_35520,ajacccf0f10,10.3847/1538-3881/acccf0,image_raw_exact,1,32635,10.3847.1538-3881.acccf0_ajacccf0f10_35520,ajacccf0f10,10.3847/1538-3881/acccf0
80,text-image,same_figure,unique,same_figure,True,caption_exact,1,77631,10.3847.1538-3881.adfb7b_ajadfb7bf5_84901,ajadfb7bf5,10.3847/1538-3881/adfb7b,image_raw_exact,1,77631,10.3847.1538-3881.adfb7b_ajadfb7bf5_84901,ajadfb7bf5,10.3847/1538-3881/adfb7b
81,text-image,same_figure,unique,same_figure,True,caption_exact,1,16139,10.3847.2041-8213.ac9f37_apjlac9f37f8_17408,apjlac9f37f8,10.3847/2041-8213/ac9f37,image_raw_exact,1,16139,10.3847.2041-8213.ac9f37_apjlac9f37f8_17408,apjlac9f37f8,10.3847/2041-8213/ac9f37
82,text-image,same_figure,unique,same_figure,True,caption_exact,1,69517,10.3847.1538-4357.ae102a_apjae102af19_76365,apjae102af19,10.3847/1538-4357/ae102a,image_raw_exact,1,69517,10.3847.1538-4357.ae102a_apjae102af19_76365,apjae102af19,10.3847/1538-4357/ae102a
83,text-image,same_figure,unique,same_figure,True,caption_exact,1,61562,10.3847.2041-8213.ad4d9a_apjlad4d9af5_67818,apjlad4d9af5,10.3847/2041-8213/ad4d9a,image_raw_exact,1,61562,10.3847.2041-8213.ad4d9a_apjlad4d9af5_67818,apjlad4d9af5,10.3847/2041-8213/ad4d9a
84,text-image,same_figure,unique,same_figure,True,caption_exact,1,51005,10.3847.1538-3881.ad5a96_ajad5a96f5_56141,ajad5a96f5,10.3847/1538-3881/ad5a96,image_raw_exact,1,51005,10.3847.1538-3881.ad5a96_ajad5a96f5_56141,ajad5a96f5,10.3847/1538-3881/ad5a96
85,text-image,same_figure,unique,same_figure,True,caption_exact,1,41818,10.3847.PSJ.ace2ba_psjace2baf4_45971,psjace2baf4,10.3847/psj/ace2ba,image_raw_exact,1,41818,10.3847.PSJ.ace2ba_psjace2baf4_45971,psjace2baf4,10.3847/psj/ace2ba
86,text-image,unmatched,ambiguous_disagreement,same_figure,,caption_exact_ambiguous,9,,,,,image_raw_exact,1,91332,10.3847.2041-8213.ada150_apjlada150f6_g_99592,apjlada150f6_g,10.3847/2041-8213/ada150
87,text-image,same_figure,unique,same_figure,True,caption_exact,1,85815,10.3847.1538-4365.ad95f9_apjsad95f9f8_93683,apjsad95f9f8,10.3847/1538-4365/ad95f9,image_raw_exact,1,85815,10.3847.1538-4365.ad95f9_apjsad95f9f8_93683,apjsad95f9f8,10.3847/1538-4365/ad95f9
88,text-image,same_figure,unique,same_figure,True,caption_exact,1,92893,10.3847.PSJ.ae0296_psjae0296f1_101223,psjae0296f1,10.3847/psj/ae0296,image_raw_exact,1,92893,10.3847.PSJ.ae0296_psjae0296f1_101223,psjae0296f1,10.3847/psj/ae0296
89,text-image,same_figure,unique,same_figure,True,caption_exact,1,81055,10.3847.1538-3881.adb397_ajadb397f16_88516,ajadb397f16,10.3847/1538-3881/adb397,image_raw_exact,1,81055,10.3847.1538-3881.adb397_ajadb397f16_88516,ajadb397f16,10.3847/1538-3881/adb397
90,text-image,same_figure,unique,same_figure,True,caption_exact,1,52671,10.3847.1538-3881.ad8574_ajad8574f2_58001,ajad8574f2,10.3847/1538-3881/ad8574,image_raw_exact,1,52671,10.3847.1538-3881.ad8574_ajad8574f2_58001,ajad8574f2,10.3847/1538-3881/ad8574
